n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
500,5,0.05,0.7,0.7,1,0.1,0.6447336136795186,0.5544688030648165
300,4,0.05,1.0,0.7,3,1.0,0.644972480677461,0.58665115664037
500,6,0.05,0.7,0.7,5,0.0,0.6450030774177301,0.5668583941432338
300,5,0.05,0.7,0.85,3,0.0,0.6450126614470304,0.5494908709449493
500,5,0.1,1.0,0.7,5,0.0,0.6451057438736509,0.4949440169342663
500,4,0.05,0.7,1.0,3,1.0,0.6451729012521354,0.5686572427153919
300,4,0.05,0.7,0.7,5,0.1,0.6452634313427456,0.5786881058295353
500,4,0.05,0.7,0.7,1,0.1,0.6453571158790969,0.5957108415282505
300,4,0.1,0.85,0.85,3,1.0,0.6454734076246256,0.5921310626573062
300,4,0.05,0.7,1.0,5,1.0,0.6454779304729101,0.575150203855375
300,6,0.05,0.7,1.0,5,0.1,0.6456258232845848,0.515924868138681
500,4,0.1,0.85,0.85,3,1.0,0.6457161744542818,0.5936686114751453
500,5,0.05,0.7,0.85,3,0.0,0.6458619471349388,0.5522730877595465
300,6,0.1,0.7,1.0,5,0.1,0.6459109095760864,0.5019055629703676
300,5,0.1,1.0,0.7,5,0.0,0.6459468028592737,0.4914077330314627
300,6,0.1,0.85,1.0,5,0.0,0.6459569183592083,0.5840837438333285
500,5,0.05,0.7,0.85,1,0.0,0.646025001150197,0.5595947204211936
500,6,0.05,0.7,1.0,5,0.1,0.646084355779367,0.5182931667705518
500,6,0.1,0.7,1.0,5,0.1,0.646112847583481,0.5019679384652471
300,5,0.1,0.85,1.0,1,0.1,0.6461547560103208,0.5793115468977815
500,6,0.1,0.85,1.0,5,0.0,0.6461726085906297,0.5839955761686224
500,4,0.05,1.0,0.85,1,0.0,0.6461833318831419,0.5547685258671607
500,6,0.1,0.85,1.0,1,1.0,0.6462487862572707,0.5603849185417666
300,5,0.05,0.7,0.85,5,1.0,0.6462653896068673,0.5791197389120905
300,5,0.05,0.7,0.85,1,0.0,0.6463886812300637,0.5571857446711479
500,5,0.05,1.0,0.7,1,0.0,0.6466592486332777,0.5562645925576344
300,6,0.1,0.85,1.0,1,1.0,0.6467469844304374,0.5611223459856041
300,5,0.05,0.7,0.7,1,0.1,0.6467600373564604,0.550590230876754
500,6,0.05,0.7,0.7,3,0.0,0.6467601846939129,0.5599411650315486
500,4,0.05,0.85,0.85,3,0.1,0.6467711193804554,0.5650268718367767
500,5,0.1,0.85,1.0,1,0.1,0.6467969692829257,0.5786351974071909
